-2.000000000000000000e+00 1.831565887460230926e-02 1.831563888873417867e-02 7.326255621431267129e-02 7.326255555493671467e-02 8.820812667241445526e-01 8.820813907624216466e-01
-1.959595959595959558e+00 2.149327233752459584e-02 2.149325046781771012e-02 8.423618406444481621e-02 8.423617355063910128e-02 8.812785423919592409e-01 8.812786634255935780e-01
-1.919191919191919116e+00 2.513995975693005674e-02 2.513993597173136765e-02 9.649674748913912581e-02 9.649672393189817621e-02 8.803381289119127651e-01 8.803382465819764580e-01
-1.878787878787878896e+00 2.930951661562668925e-02 2.930949091255603128e-02 1.101326722635909000e-01 1.101326325199075140e-01 8.792399990849351088e-01 8.792401130057568848e-01
-1.838383838383838453e+00 3.405922604738325504e-02 3.405919845899035153e-02 1.252278185689534029e-01 1.252277599906312100e-01 8.779618810770167814e-01 8.779619908368639924e-01
-1.797979797979798011e+00 3.944963007948894956e-02 3.944960067913143298e-02 1.418592491318400317e-01 1.418591701188968712e-01 8.764791218209688761e-01 8.764792269832648586e-01
-1.757575757575757569e+00 4.554420615068316414e-02 4.554417505850871795e-02 1.600947753718649780e-01 1.600946759632427552e-01 8.747645615442364297e-01 8.747646616493763849e-01
-1.717171717171717127e+00 5.240894039355904060e-02 5.240890778245269749e-02 1.799903059437412134e-01 1.799901883437769468e-01 8.727884234252876183e-01 8.727885179931085258e-01
-1.676767676767676685e+00 6.011179034322811088e-02 6.011175644456188266e-02 2.015870314814122155e-01 2.015869003999448961e-01 8.705182227025652919e-01 8.705183112355173725e-01
-1.636363636363636243e+00 6.872203129735883487e-02 6.872199640635963391e-02 2.249084891876498571e-01 2.249083518753587918e-01 8.679186998262409247e-01 8.679187818133035082e-01
-1.595959595959596022e+00 7.830948251842073660e-02 7.830944699895490968e-02 2.499575608894816225e-01 2.499574267845429409e-01 8.649517824380047459e-01 8.649518573593691917e-01
-1.555555555555555580e+00 8.894361183659353631e-02 8.894357612514940115e-02 2.767134679787203178e-01 2.767133479449092603e-01 8.615765810715265705e-01 8.615766484040661144e-01
-1.515151515151515138e+00 1.006925199667616372e-01 1.006924845754019193e-01 3.051288359181598131e-01 3.051287411375815939e-01 8.577494234700925313e-01 8.577494826936096217e-01
